cityname,provincename,countryname
Chetumal,Quintana Roo,Mexico
Progreso,Yucatán,Mexico
Cabo San Lucas,Baja California Sur,Mexico
Monclova,Coahuila,Mexico
Ometepec,Guerrero,Mexico
Cozumel,Quintana Roo,Mexico
Mexicali,Baja California,Mexico
La Paz,Baja California Sur,Mexico
Torreon,Coahuila,Mexico
Culiacan,Sinaloa,Mexico
Nogales,Sonora,Mexico
Hermosillo,Sonora,Mexico
Guaymas,Sonora,Mexico
San Luis Potosi,San Luis Potosí,Mexico
Matamoros,Tamaulipas,Mexico
Nuevo Laredo,Tamaulipas,Mexico
Colima,Colima,Mexico
Campeche,Campeche,Mexico
Oaxaca,Oaxaca,Mexico
Leon,Guanajuato,Mexico
Tijuana,Baja California,Mexico
Chihuahua,Chihuahua,Mexico
Mazatlan,Sinaloa,Mexico
Tampico,Tamaulipas,Mexico
Acapulco,Guerrero,Mexico
Veracruz,Veracruz,Mexico
Tuxtla Gutierrez,Chiapas,Mexico
Cancun,Quintana Roo,Mexico
Merida,Yucatán,Mexico
Guadalajara,Jalisco,Mexico
Puebla,Puebla,Mexico
Monterrey,Nuevo León,Mexico
Mexico City,Distrito Federal,Mexico
Dubasari,Transnistria,Moldova
Balti,Balti,Moldova
Cahul,Cahul,Moldova
Tiraspol,Bender,Moldova
Chisinau,Chisinau,Moldova
Monaco,Monaco,Monaco
Suchboatar,Selenge,Mongolia
Dzuunmod,Töv,Mongolia
Tsetserleg,Arhangay,Mongolia
Olgiy,Bayan-Ölgiy,Mongolia
Ulaan-Uul,Dornogovi,Mongolia
Hodrogo,Dzavhan,Mongolia
Buyant-Uhaa,Dornogovi,Mongolia
Ondorhaan,Hentiy,Mongolia
Bayankhongor,Bayanhongor,Mongolia
Uliastay,Dzavhan,Mongolia
Altay,Govi-Altay,Mongolia
Moron,Hövsgöl,Mongolia
Ulaangom,Uvs,Mongolia
Bulgan,Bulgan,Mongolia
Mandalgovi,Dundgovi,Mongolia
Darhan,Selenge,Mongolia
Dzuunharaa,Selenge,Mongolia
Arvayheer,Övörhangay,Mongolia
Baruun Urt,Sühbaatar,Mongolia
Dalandzadgad,Ömnögovi,Mongolia
Dund-Us,Hovd,Mongolia
Choybalsan,Dornod,Mongolia
Erdenet,Orhon,Mongolia
Ulaanbaatar,Ulaanbaatar,Mongolia
Podgorica,Podgorica,Montenegro
Ksar El Kebir,Tanger - Tétouan,Morocco
Larache,Tanger - Tétouan,Morocco
Taza,Taza - Al Hoceima - Taounate,Morocco
Ouezzane,Gharb - Chrarda - Béni Hssen,Morocco
Kenitra,Gharb - Chrarda - Béni Hssen,Morocco
Settat,Chaouia - Ouardigha,Morocco
Er Rachidia,Meknès - Tafilalet,Morocco
Meknes,Meknès - Tafilalet,Morocco
Tiznit,Souss - Massa - Draâ,Morocco
El Jadida,Doukkala - Abda,Morocco
Dawra,Laâyoune - Boujdour - Sakia El Hamra,Morocco
Lemsid,Laâyoune - Boujdour - Sakia El Hamra,Morocco
Tan Tan,Guelmim - Es-Semara,Morocco
Bir Anzarane,Oued el Dahab,Morocco
Tangier,Tanger - Tétouan,Morocco
Agadir,Souss - Massa - Draâ,Morocco
Goulimine,Guelmim - Es-Semara,Morocco
Smara,Guelmim - Es-Semara,Morocco
Ad Dakhla,Oued el Dahab,Morocco
Oujda,Oriental,Morocco
Safi,Doukkala - Abda,Morocco
Laayoune,Laâyoune - Boujdour - Sakia El Hamra,Morocco
Fez,Fès - Boulemane,Morocco
Rabat,Rabat - Salé - Zemmour - Zaer,Morocco
Marrakesh,Marrakech - Tensift - Al Haouz,Morocco
Casablanca,Grand Casablanca,Morocco
Moatize,Tete,Mozambique
Luangwa,Tete,Mozambique
Manica,Manica,Mozambique
Espungabera,Manica,Mozambique
Montepuez,Cabo Delgado,Mozambique
Mocimboa,Cabo Delgado,Mozambique
Marrupa,Nassa,Mozambique
Cuamba,Nassa,Mozambique
Ligonha,Nampula,Mozambique
Macia,Gaza,Mozambique
Massangena,Gaza,Mozambique
Mapai,Gaza,Mozambique
Dondo,Sofala,Mozambique
Chiramba,Sofala,Mozambique
Mocuba,Zambezia,Mozambique
Nicuadala,Zambezia,Mozambique
Maxixe,Inhambane,Mozambique
Panda,Inhambane,Mozambique
Quissico,Inhambane,Mozambique
Vilanculos,Inhambane,Mozambique
Matola,Maputo,Mozambique
Chimoio,Manica,Mozambique
Lichinga,Nassa,Mozambique
Angoche,Nampula,Mozambique
Mocambique,Nampula,Mozambique
Inhambane,Inhambane,Mozambique
Tete,Tete,Mozambique
Pemba,Cabo Delgado,Mozambique
Nampula,Nampula,Mozambique
Xai-Xai,Gaza,Mozambique
Quelimane,Zambezia,Mozambique
Nacala,Nampula,Mozambique
Beira,Sofala,Mozambique
Maputo,Maputo,Mozambique
Loikaw,Kayah,Myanmar
Pa-an,Kayin,Myanmar
Haka,Chin,Myanmar
Taunggyi,Shan,Myanmar
Sagaing,Sagaing,Myanmar
Myingyan,Mandalay,Myanmar
Letpadan,Bago,Myanmar
Taungoo,Bago,Myanmar
Thongwa,Yangon,Myanmar
Mudon,Mon,Myanmar
Ye,Mon,Myanmar
Mawlamyine,Mon,Myanmar
Kyaukphyu,Rakhine,Myanmar
Wakema,Ayeyarwady,Myanmar
Labutta,Ayeyarwady,Myanmar
Phyarpon,Ayeyarwady,Myanmar
Yandoon,Ayeyarwady,Myanmar
Hinthada,Ayeyarwady,Myanmar
Pathein,Ayeyarwady,Myanmar
Allanmyo,Magway,Myanmar
Yaynangyoung,Magway,Myanmar
Chauk,Magway,Myanmar
Pakokku,Magway,Myanmar
Namtu,Shan,Myanmar
Dawei,Tanintharyi,Myanmar
Shwebo,Sagaing,Myanmar
Bago,Bago,Myanmar
Pyu,Bago,Myanmar
Pyay,Bago,Myanmar
Magway,Magway,Myanmar
Myitkyina,Kachin,Myanmar
Monywa,Sagaing,Myanmar
Myeik,Tanintharyi,Myanmar
Mandalay,Mandalay,Myanmar
Sittwe,Rakhine,Myanmar
Naypyidaw,Mandalay,Myanmar
Rangoon,Yangon,Myanmar
Omaruru,Erongo,Namibia
Karibib,Erongo,Namibia
Otavi,Otjozondjupa,Namibia
Gobabis,Omaheke,Namibia
Karasburg,Karas,Namibia
Bethanie,Karas,Namibia
Oranjemund,Karas,Namibia
Mariental,Hardap,Namibia
Rehoboth,Hardap,Namibia
Outjo,Kunene,Namibia
Opuwo,Kunene,Namibia
Usakos,Erongo,Namibia
Okahandja,Otjozondjupa,Namibia
Otjiwarongo,Otjozondjupa,Namibia
Oshikango,Ohangwena,Namibia
Cuangar,Kavango,Namibia
Katima Mulilo,Caprivi,Namibia
Keetmanshoop,Karas,Namibia
Maltahohe,Hardap,Namibia
Swakopmund,Erongo,Namibia
Ongwediva,Oshana,Namibia
Rundu,Kavango,Namibia
Tsumeb,Oshikoto,Namibia
Luderitz,Karas,Namibia
Walvis Bay,Erongo,Namibia
Windhoek,Khomas,Namibia
Grootfontein,Otjozondjupa,Namibia
Sallyan,Rapti,Nepal
Baglung,Dhawalagiri,Nepal
Jumla,Karnali,Nepal
Bhairawa,Lumbini,Nepal
Dandeldhura,Mahakali,Nepal
Dhangarhi,Achham,Nepal
Ramechhap,Janakpur,Nepal
Bhimphedi,Narayani,Nepal
Rajbiraj,Sagarmatha,Nepal
Ilam,Mechi,Nepal
Lalitpur,Bhaktapur,Nepal
Hetauda,Narayani,Nepal
Nepalganj,Banke,Nepal
Birganj,Narayani,Nepal
Biratnagar,Bhojpur,Nepal
Pokhara,Gorkha,Nepal
Kathmandu,Bhaktapur,Nepal
Assen,Drenthe,Netherlands
Arnhem,Gelderland,Netherlands
Maastricht,Limburg,Netherlands
Zwolle,Overijssel,Netherlands
Middelburg,Zeeland,Netherlands
's-Hertogenbosch,Noord-Brabant,Netherlands
Eindhoven,Noord-Brabant,Netherlands
Leeuwarden,Friesland,Netherlands
Groningen,Groningen,Netherlands
Utrecht,Utrecht,Netherlands
Haarlem,Noord-Holland,Netherlands
Rotterdam,Zuid-Holland,Netherlands
The Hague,Zuid-Holland,Netherlands
Amsterdam,Noord-Holland,Netherlands
Noumea,Sud,New Caledonia
Greymouth,West Coast,New Zealand
Upper Hutt,Manawatu-Wanganui,New Zealand
Masterton,Manawatu-Wanganui,New Zealand
Levin,Manawatu-Wanganui,New Zealand
Waitakere,Auckland,New Zealand
Takapuna,Auckland,New Zealand
Whakatane,Bay of Plenty,New Zealand
Ashburton,Canterbury,New Zealand
Kaiapoi,Canterbury,New Zealand
New Plymouth,Taranaki,New Zealand
Westport,West Coast,New Zealand
Hokitika,West Coast,New Zealand
Oamaru,Otago,New Zealand
Palmerston North,Manawatu-Wanganui,New Zealand
Wanganui,Manawatu-Wanganui,New Zealand
Hastings,Gisborne,New Zealand
Gisborne,Gisborne,New Zealand
Rotorua,Auckland,New Zealand
Taupo,Auckland,New Zealand
Tauranga,Bay of Plenty,New Zealand
Timaru,Canterbury,New Zealand
Nelson,Nelson,New Zealand
Whangarei,Northland,New Zealand
Queenstown,Otago,New Zealand
Invercargill,Southland,New Zealand
Napier,Gisborne,New Zealand
Manukau,Auckland,New Zealand
Hamilton,Auckland,New Zealand
Blenheim,Marlborough,New Zealand
Dunedin,Otago,New Zealand
Wellington,Manawatu-Wanganui,New Zealand
Christchurch,Canterbury,New Zealand
Auckland,Auckland,New Zealand
Somoto,Madriz,Nicaragua
Ocotal,Nueva Segovia,Nicaragua
San Carlos,Nicaragua,Nicaragua
Jinotepe,Carazo,Nicaragua
Jinotega,Jinotega,Nicaragua
Masaya,Masaya,Nicaragua
San Juan del Sur,Nicaragua,Nicaragua
Esteli,Estelí,Nicaragua
Boaco,Boaco,Nicaragua
Juigalpa,Chontales,Nicaragua
Rivas,Nicaragua,Nicaragua
San Juan de Nicaragua,Nicaragua,Nicaragua
Granada,Granada,Nicaragua
Chinandega,Chinandega,Nicaragua
Matagalpa,Matagalpa,Nicaragua
Puerto Cabezas,Atlántico Norte,Nicaragua
Leon,León,Nicaragua
Bluefields,Atlántico Sur,Nicaragua
Managua,Managua,Nicaragua
Goure,Zinder,Niger
Gaya,Dosso,Niger
Tillaberi,Niamey,Niger
Ayorou,Niamey,Niger
Birni Nkonni,Tahoua,Niger
Madaoua,Tahoua,Niger
Diffa,Diffa,Niger
Nguigmi,Diffa,Niger
Dosso,Dosso,Niger
Arlit,Agadez,Niger
Djado,Agadez,Niger
Maradi,Maradi,Niger
Tahoua,Tahoua,Niger
Zinder,Zinder,Niger
Niamey,Niamey,Niger
Agadez,Agadez,Niger
Umuahia,Abia,Nigeria
Uyo,Akwa Ibom,Nigeria
Owerri,Imo,Nigeria
Dutse,Jigawa,Nigeria
Damaturu,Yobe,Nigeria
Iwo,Osun,Nigeria
Iseyin,Oyo,Nigeria
Biu,Borno,Nigeria
Bama,Borno,Nigeria
Aba,Abia,Nigeria
Opobo,Akwa Ibom,Nigeria
Orlu,Imo,Nigeria
Oturkpo,Benue,Nigeria
Calabar,Cross River,Nigeria
Wukari,Taraba,Nigeria
Jalingo,Taraba,Nigeria
Kontagora,Niger,Nigeria
Bida,Niger,Nigeria
Abeokuta,Ogun,Nigeria
Ijebu Ode,Ogun,Nigeria
Akure,Ondo,Nigeria
Ikare,Ondo,Nigeria
Owo,Ondo,Nigeria
Ondo,Ondo,Nigeria
Ado Ekiti,Ekiti,Nigeria
Ife,Osun,Nigeria
Oshogbo,Osun,Nigeria
Oyo,Oyo,Nigeria
Awka,Anambra,Nigeria
Onitsha,Anambra,Nigeria
Azare,Bauchi,Nigeria
Bauchi,Bauchi,Nigeria
Gombe,Gombe,Nigeria
Kumo,Gombe,Nigeria
Sapele,Delta,Nigeria
Nsukka,Enugu,Nigeria
Lokoja,Kogi,Nigeria
Idah,Kogi,Nigeria
Lafia,Nassarawa,Nigeria
Keffi,Nassarawa,Nigeria
Funtua,Katsina,Nigeria
Katsina,Katsina,Nigeria
Gusau,Zamfara,Nigeria
Nguru,Yobe,Nigeria
Gashua,Yobe,Nigeria
Potiskum,Yobe,Nigeria
Birnin Kebbi,Kebbi,Nigeria
Koko,Kebbi,Nigeria
Mubi,Adamawa,Nigeria
Numan,Adamawa,Nigeria
Ilorin,Kwara,Nigeria
Minna,Niger,Nigeria
Zaria,Kaduna,Nigeria
Jos,Plateau,Nigeria
Yola,Adamawa,Nigeria
Benin City,Edo,Nigeria
Maiduguri,Borno,Nigeria
Port Harcourt,Rivers,Nigeria
Makurdi,Benue,Nigeria
Ibadan,Oyo,Nigeria
Ogbomosho,Oyo,Nigeria
Warri,Delta,Nigeria
Kaduna,Kaduna,Nigeria
Enugu,Enugu,Nigeria
Sokoto,Sokoto,Nigeria
Abuja,Federal Capital Territory,Nigeria
Kano,Kano,Nigeria
Lagos,Lagos,Nigeria
Sariwon,Hwanghae-bukto,North Korea
Sin-Ni,P'yongan-namdo,North Korea
Changyon,Hwanghae-namdo,North Korea
Anbyon,Kangwon-do,North Korea
Munchon,Kangwon-do,North Korea
Kaesong,Kaesong,North Korea
Chosan,Chagang-do,North Korea
Manpo,Chagang-do,North Korea
Sunchon,P'yongan-namdo,North Korea
Kimhyonggwon,Ryanggang,North Korea
Pyongsan,Hwanghae-bukto,North Korea
Ongjin,Hwanghae-namdo,North Korea
Haeju,Hwanghae-namdo,North Korea
Kilchu,Hamgyong-bukto,North Korea
Musan,Hamgyong-bukto,North Korea
Sonbong,Hamgyong-bukto,North Korea
Kanggye,Chagang-do,North Korea
Hungnam,Hamgyong-namdo,North Korea
Taedong,P'yongan-bukto,North Korea
Chongju,P'yongan-bukto,North Korea
Hyeson,Ryanggang,North Korea
Nampo,Namp'o-si,North Korea
Chongjin,Hamgyong-bukto,North Korea
Kimchaek,Hamgyong-bukto,North Korea
Hamhung,Hamgyong-namdo,North Korea
Wonsan,Kangwon-do,North Korea
Sinuiju,P'yongan-bukto,North Korea
Pyongyang,P'yongyang,North Korea
Arendal,Aust-Agder,Norway
Vossavangen,Hordaland,Norway
Hermansverk,Sogn og Fjordane,Norway
Baerum,Akershus,Norway
Hamar,Hedmark,Norway
Tonsberg,Vestfold,Norway
Finnsnes,Troms,Norway
Gjovik,Oppland,Norway
Rorvik,Nord-Trøndelag,Norway
Harstad,Troms,Norway
Alesund,Møre og Romsdal,Norway
Sandnes,Rogaland,Norway
Drammen,Buskerud,Norway
Moss,Ãstfold,Norway
Steinkjer,Nord-Trøndelag,Norway
Svolvaer,Nordland,Norway
Mo i Rana,Nordland,Norway
Narvik,Nordland,Norway
Bodo,Nordland,Norway
Haugesund,Rogaland,Norway
Stavanger,Rogaland,Norway
Skien,Telemark,Norway
Namsos,Nord-Trøndelag,Norway
Alta,Finnmark,Norway
Vadso,Finnmark,Norway
Molde,Møre og Romsdal,Norway
Lillehammer,Oppland,Norway
Kirkenes,Finnmark,Norway
Kristiansand,Vest-Agder,Norway
Hammerfest,Finnmark,Norway
Tromso,Troms,Norway
Trondheim,Sør-Trøndelag,Norway
Bergen,Hordaland,Norway
Oslo,Oslo,Norway
Alayat Samail,Ad Dakhliyah,Oman
Dawwah,Ash Sharqiyah,Oman
Mirbat,Dhofar,Oman
Ibri,Al Dhahira,Oman
Salalah,Dhofar,Oman
Suhar,Al Batnah,Oman
As Sib,Muscat,Oman
Nizwa,Ad Dakhliyah,Oman
Sur,Ash Sharqiyah,Oman
Muscat,Muscat,Oman
Parachinar,F.A.T.A.,Pakistan
Sialkote,Punjab,Pakistan
Sheikhu Pura,Punjab,Pakistan
Gujrat,Punjab,Pakistan
Sahiwal,Punjab,Pakistan
Chiniot,Punjab,Pakistan
Rahimyar Khan,Punjab,Pakistan
Mansehra,Khyber-Pakhtunkhwa,Pakistan
Kohat,N.W.F.P.,Pakistan
Abbottabad,N.W.F.P.,Pakistan
Mardan,N.W.F.P.,Pakistan
Gwadar,Baluchistan,Pakistan
Zhob,Baluchistan,Pakistan
Gilgit,Northern Areas,Pakistan
Kasur,Punjab,Pakistan
Kundian,Punjab,Pakistan
Okara,Punjab,Pakistan
Jhang,Punjab,Pakistan
Sargodha,Punjab,Pakistan
Dera Ghazi Khan,Punjab,Pakistan
Sadiqabad,Punjab,Pakistan
Nawabshah,Sind,Pakistan
Bannu,N.W.F.P.,Pakistan
Dera Ismail Khan,Khyber-Pakhtunkhwa,Pakistan
Chaman,Baluchistan,Pakistan
Turbat,Baluchistan,Pakistan
Faisalabad,Punjab,Pakistan
Rawalpindi,Punjab,Pakistan
Bahawalpur,Punjab,Pakistan
Mirput Khas,Sind,Pakistan
Sukkur,Sind,Pakistan
Saidu,N.W.F.P.,Pakistan
Gujranwala,Punjab,Pakistan
Quetta,Baluchistan,Pakistan
Larkana,Sind,Pakistan
Islamabad,F.C.T.,Pakistan
Multan,Punjab,Pakistan
Hyderabad,Sind,Pakistan
Peshawar,N.W.F.P.,Pakistan
Lahore,Punjab,Pakistan
Karachi,Sind,Pakistan
El Porvenir,Kuna Yala,Panama
Penonome,Coclé,Panama
Chitre,Herrera,Panama
Jaque,Darién,Panama
Bocas del Toro,Bocas del Toro,Panama
Almirante,Bocas del Toro,Panama
Las Tablas,Los Santos,Panama
Santiago,Veraguas,Panama
La Palma,Darién,Panama
Colon,Colón,Panama
Balboa,Panama,Panama
Puerto Armuelles,Chiriquí,Panama
David,Chiriquí,Panama
Panama City,Panama,Panama
Wabag,Enga,Papua New Guinea
Vanimo,Sandaun,Papua New Guinea
Kundiawa,Chimbu,Papua New Guinea
Kerema,Gulf,Papua New Guinea
Arawa,North Solomons,Papua New Guinea
Lorengau,Manus,Papua New Guinea
Kimbe,West New Britain,Papua New Guinea
Sohano,North Solomons,Papua New Guinea
Kieta,North Solomons,Papua New Guinea
Mendi,Southern Highlands,Papua New Guinea
Abau,Central,Papua New Guinea
Alotau,Milne Bay,Papua New Guinea
Popondetta,Northern,Papua New Guinea
Hoskins,West New Britain,Papua New Guinea
Wewak,East Sepik,Papua New Guinea
Madang,Madang,Papua New Guinea
Kavieng,New Ireland,Papua New Guinea
Goroka,Eastern Highlands,Papua New Guinea
Mt. Hagen,Western Highlands,Papua New Guinea
Rabaul,East New Britain,Papua New Guinea
Lae,Morobe,Papua New Guinea
Port Moresby,Central,Papua New Guinea
Mariscal Jose F. Estigarribia,Boquerón,Paraguay
Caacupe,Cordillera,Paraguay
General Eugenio Alejandrino Garay,Boquerón,Paraguay
Arroyos y Esteros,Cordillera,Paraguay
Villa Hayes,Presidente Hayes,Paraguay
Fortin Falcon,Presidente Hayes,Paraguay
Puerto Pinasco,Presidente Hayes,Paraguay
Pozo Colorado,Presidente Hayes,Paraguay
San Pedro,San Pedro,Paraguay
San Lorenzo,Asunción,Paraguay
Ypacarai,Asunción,Paraguay
San Juan Bautista,Misiones,Paraguay
Paraguari,Paraguarí,Paraguay
Nacunday,Alto Paraná,Paraguay
Coronel Oviedo,Caaguazú,Paraguay
Caazapa,Caazapá,Paraguay
Ype Jhu,Canindeyú,Paraguay
Encarnacion,Itapúa,Paraguay
Coronel Bogado,Itapúa,Paraguay
Fuerte Olimpo,Alto Paraguay,Paraguay
Capitan Pablo Lagerenza,Alto Paraguay,Paraguay
La Victoria,Alto Paraguay,Paraguay
Horqueta,Concepción,Paraguay
Belen,Concepción,Paraguay
Rosario,San Pedro,Paraguay
Ita,Asunción,Paraguay
Pilar,Ñeembucú,Paraguay
Pedro Juan Caballero,Amambay,Paraguay
Bella Vista,Amambay,Paraguay
Abai,Caazapá,Paraguay
Ygatimi,Canindeyú,Paraguay
Hohenau,Itapúa,Paraguay
Concepcion,Concepción,Paraguay
Villarrica,Guairá,Paraguay
Filadelfia,Boquerón,Paraguay
Ciudad del Este,Alto Paraná,Paraguay
Asuncion,Asunción,Paraguay
Ferrenafe,Lambayeque,Peru
Motupe,Lambayeque,Peru
Mollendo,Arequipa,Peru
Urubamba,Cusco,Peru
Santo Tomas,Cusco,Peru
Putina,Callao,Peru
Casma,Ancash,Peru
Tournavista,Huánuco,Peru
Huamachuco,La Libertad,Peru
Otuzco,La Libertad,Peru
Lamas,San Martín,Peru
Nauta,Loreto,Peru
Puquio,Ayacucho,Peru
Chosica,Lima,Peru
Satipo,Junín,Peru
Tarma,Junín,Peru
La Oroya,Junín,Peru
Huaura,Lima,Peru
Huacho,Lima,Peru
Pimentel,Lambayeque,Peru
Olmos,Lambayeque,Peru
Sechura,Piura,Peru
Chulucanas,Piura,Peru
Sullana,Piura,Peru
Abancay,Apurímac,Peru
Camana,Arequipa,Peru
Sicuani,Cusco,Peru
Puno,Callao,Peru
Ayaviri,Callao,Peru
Ilave,Callao,Peru
Desaguadero,Callao,Peru
Huarmey,Ancash,Peru
Cajabamba,Cajamarca,Peru
Jaen,Cajamarca,Peru
Chota,Cajamarca,Peru
Tingo Maria,Huánuco,Peru
Moyobamba,San Martín,Peru
Juanjui,San Martín,Peru
Tocache,San Martín,Peru
Sechura,Amazonas,Peru
Chachapoyas,Amazonas,Peru
Caballococha,Loreto,Peru
Puca Urco,Loreto,Peru
Andoas,Loreto,Peru
Soldado Bartra,Loreto,Peru
Nuevo Rocafuerte,Loreto,Peru
Requena,Loreto,Peru
Huanta,Ayacucho,Peru
Coracora,Ayacucho,Peru
Chincha Alta,Ica,Peru
Santiago,Ica,Peru
San Ramon,Junín,Peru
Junin,Junín,Peru
Jauja,Junín,Peru
Pativilca,Lima,Peru
Chancay,Lima,Peru
Chilca,Lima,Peru
Chiclayo,Lambayeque,Peru
Juliaca,Callao,Peru
Cerro de Pasco,Pasco,Peru
Tarapoto,San Martín,Peru
Ayacucho,Ayacucho,Peru
Callao,Lima,Peru
Paita,Piura,Peru
Talara,Piura,Peru
Tumbes,Tumbes,Peru
Puerto Maldonado,Madre de Dios,Peru
Ilo,Moquegua,Peru
Moquegua,Moquegua,Peru
Huaraz,Ancash,Peru
Cajamarca,Cajamarca,Peru
Huanuco,Huánuco,Peru
Pacasmayo,La Libertad,Peru
Salaverry,La Libertad,Peru
Gueppi,Loreto,Peru
Contamana,Loreto,Peru
Huancavelica,Huancavelica,Peru
Pisco,Ica,Peru
Nasca,Ica,Peru
Piura,Piura,Peru
Arequipa,Arequipa,Peru
Chimbote,Ancash,Peru
Pucallpa,Ucayali,Peru
Iquitos,Loreto,Peru
Huancayo,Junín,Peru
Cusco,Cusco,Peru
Tacna,Tacna,Peru
Trujillo,La Libertad,Peru
Ica,Ica,Peru
Lima,Lima,Peru
San Carlos,Negros Occidental,Philippines
Cadiz,Negros Occidental,Philippines
Pagadian,Zamboanga Del Sur,Philippines
Ozamis,Misamis Occidental,Philippines
Tarlac,Tarlac,Philippines
Cabanatuan,Nueva Ecija,Philippines
Olongapo,Zambales,Philippines
Dagupan,Pangasinan,Philippines
San Pablo,Laguna,Philippines
Quezon City,Metropolitan Manila,Philippines
Pasay City,Metropolitan Manila,Philippines
Iligan,Lanao del Norte,Philippines
Ormac,Leyte,Philippines
Tacloban,Leyte,Philippines
Butuan,Agusan del Norte,Philippines
Tagum,Davao del Norte,Philippines
Surigao,Dinagat Islands,Philippines
Gingoog,Misamis Oriental,Philippines
Legazpi,Albay,Philippines
Tuguegarao,Cagayan,Philippines
Vigan,Ilocos Sur,Philippines
Bacolod,Negros Occidental,Philippines
Roxas,Capiz,Philippines
Puerto Princesa,Palawan,Philippines
Naga,Camarines Sur,Philippines
Angeles,Pampanga,Philippines
Batangas,Batangas,Philippines
Cotabato,Shariff Kabunsuan,Philippines
Calbayog,Samar,Philippines
Cagayan de Oro,Misamis Oriental,Philippines
Zamboanga,Zamboanga del Sur,Philippines
Laoag,Ilocos Norte,Philippines
Baguio City,Benguet,Philippines
General Santos,South Cotabato,Philippines
Cebu,Cebu,Philippines
Iloilo,Iloilo,Philippines
Davao,Davao Del Sur,Philippines
Manila,Metropolitan Manila,Philippines
Olsztyn,Warmian-Masurian,Poland
Elblag,Warmian-Masurian,Poland
Inowroclaw,Kuyavian-Pomeranian,Poland
Bytom,Silesian,Poland
Opole,Opole,Poland
Koszalin,West Pomeranian,Poland
Elk,Warmian-Masurian,Poland
Gdynia,Pomeranian,Poland
Wroclaw,Lower Silesian,Poland
Szczecin,West Pomeranian,Poland
Zielona Gora,Lubusz,Poland
Poznan,Greater Poland,Poland
Grudziadz,Kuyavian-Pomeranian,Poland
Bydgoszcz,Kuyavian-Pomeranian,Poland
Katowice,Silesian,Poland
Gliwice,Silesian,Poland
Kielce,Swietokrzyskie,Poland
Bialystok,Podlachian,Poland
Lublin,Lublin,Poland
Rzeszow,Subcarpathian,Poland
Lodz,Lódz,Poland
Gdansk,Pomeranian,Poland
Krakow,Lesser Poland,Poland
Warsaw,Masovian,Poland
Aveiro,Aveiro,Portugal
Leiria,Leiria,Portugal
Viana Do Castelo,Viana do Castelo,Portugal
Beja,Beja,Portugal
Evora,Évora,Portugal
Portalegre,Portalegre,Portugal
Santarem,Santarém,Portugal
Braganca,Bragança,Portugal
Castelo Branco,Castelo Branco,Portugal
Guarda,Guarda,Portugal
Viseu,Viseu,Portugal
Vila Real,Vila Real,Portugal
Braga,Braga,Portugal
Covilha,Castelo Branco,Portugal
Horta,Azores,Portugal
Angra do Heroismo,Azores,Portugal
Portimao,Faro,Portugal
Faro,Faro,Portugal
Coimbra,Coimbra,Portugal
Setubal,Lisboa,Portugal
Porto,Porto,Portugal
Funchal,Madeira,Portugal
Ponta Delgada,Azores,Portugal
Lisbon,Lisboa,Portugal
Doha,Ad Dawhah,Qatar
Targu Jiu,Gorj,Romania
Slatina,Olt,Romania
Alexandria,Teleorman,Romania
Targoviste,Dâmbovita,Romania
Giurgiu,Giurgiu,Romania
Slobozia,Ialomita,Romania
Alba Lulia,Alba,Romania
Bistrita,Bistrita-Nasaud,Romania
Deva,Hunedoara,Romania
Zalau,Salaj,Romania
Satu Mare,Satu Mare,Romania
Rimnicu Vilcea,Vâlcea,Romania
Sfintu-Gheorghe,Covasna,Romania
Miercurea-Cuic,Harghita,Romania
Piatra-Neamt,Neamt,Romania
Braila,Braila,Romania
Vaslui,Vaslui,Romania
Drobeta-Turnu Severin,Mehedinti,Romania
Tulcea,Constanta,Romania
Arad,Arad,Romania
Oradea,Bihor,Romania
Sibiu,Sibiu,Romania
Suceava,Suceava,Romania
Buzau,Buzau,Romania
Galati,Galati,Romania
Focsani,Vrancea,Romania
Craiova,Dolj,Romania
Calarasi,Calarasi,Romania
Resita,Caras-Severin,Romania
Timisoara,Timis,Romania
Botosani,Botosani,Romania
Baia Mare,Maramures,Romania
Tirgu Mures,Mures,Romania
Pitesti,Arges,Romania
Brasov,Brasov,Romania
Ploiesti,Prahova,Romania
Bacau,Bacau,Romania
Cluj-Napoca,Cluj,Romania
Constanta,Constanta,Romania
Iasi,Iasi,Romania
Bucharest,Bucharest,Romania
Nazran,Ingush,Russia
Ust' Ordynskiy,Ust-Orda Buryat,Russia
Maykop,Adygey,Russia
Mozdok,North Ossetia,Russia
Georgievsk,Stavropol',Russia
Pyatigorsk,Stavropol',Russia
Kislovodsk,Stavropol',Russia
Nevinnomyssk,Stavropol',Russia
Enurmino,Chukchi Autonomous Okrug,Russia
Lavrentiya,Chukchi Autonomous Okrug,Russia
Zvezdnyy,Chukchi Autonomous Okrug,Russia
Mikhalkino,Koryak,Russia
Chernyakhovsk,Kaliningrad,Russia
Severomorsk,Murmansk,Russia
Apatity,Murmansk,Russia
Polyarnyy,Murmansk,Russia
Slantsy,Leningrad,Russia
Kolpino,City of St. Petersburg,Russia
Novozybkov,Bryansk,Russia
Dyatkovo,Bryansk,Russia
Shuya,Ivanovo,Russia
Kineshma,Ivanovo,Russia
Balakhna,Nizhegorod,Russia
Arzamas,Nizhegorod,Russia
Rzhev,Tver',Russia
Vyshnniy Volochek,Tver',Russia
Uglich,Yaroslavl',Russia
Yelets,Lipetsk,Russia
